iter	Logloss
0	0.6738073337
1	0.6556374784
2	0.6370100498
3	0.6200883901
4	0.6036148141
5	0.5879113482
6	0.5740236409
7	0.5611483361
8	0.5499641039
9	0.5414536821
10	0.5306281803
11	0.5205657561
12	0.5117096665
13	0.5029038205
14	0.4939517997
15	0.4876547461
16	0.4801719385
17	0.4743803948
18	0.4686453546
19	0.4633567003
20	0.4584435686
21	0.4537283515
22	0.4487386022
23	0.4450038954
24	0.4396286291
25	0.4359757168
26	0.4309469239
27	0.427483369
28	0.4240546339
29	0.4223277747
30	0.4193028673
31	0.4161758475
32	0.413424633
33	0.4097061155
34	0.4077731508
35	0.4049785966
36	0.4030121604
37	0.4001038319
38	0.3979155222
39	0.3954232522
40	0.3933042143
41	0.3924886739
42	0.3907992431
43	0.3888206678
44	0.3878643056
45	0.385790779
46	0.3841325409
47	0.3827889155
48	0.3814814194
49	0.3795956532
50	0.378338512
51	0.3771827508
52	0.3761752895
53	0.3753407764
54	0.3749403825
55	0.3736026607
56	0.3719140295
57	0.3707606783
58	0.3694138319
59	0.3681867769
60	0.366742104
61	0.3657648059
62	0.364976105
63	0.363901762
64	0.3629695252
65	0.362497797
66	0.3616345828
67	0.3610160692
68	0.3600589266
69	0.3598677022
70	0.3592954528
71	0.3587032741
72	0.3578001323
73	0.3569602059
74	0.3562887206
75	0.3555334068
76	0.3549981523
77	0.3545735219
78	0.35375501
79	0.3532792594
80	0.3528135414
81	0.3523044443
82	0.35225266
83	0.3515592561
84	0.3511491639
85	0.3506803018
86	0.3502306783
87	0.3496483703
88	0.3491809221
89	0.3487901612
90	0.3481897653
91	0.3478576692
92	0.3476523761
93	0.3471820015
94	0.3467801336
95	0.3463488825
96	0.3459217555
97	0.3454483843
98	0.3452959799
99	0.3450023752
100	0.3447382541
101	0.3442863284
102	0.3440063757
103	0.3437808192
104	0.343448915
105	0.3431460973
106	0.342836536
107	0.3425161099
108	0.3421994197
109	0.3418713005
110	0.3415345332
111	0.3412792706
112	0.3408836303
113	0.3406767196
114	0.340444744
115	0.3402902281
116	0.3400086111
117	0.3397123917
118	0.3393712475
119	0.339123593
120	0.3388102637
121	0.3384871218
122	0.3382557451
123	0.3380957841
124	0.3379451853
125	0.3376882733
126	0.3374619533
127	0.3372595289
128	0.3370168756
129	0.3368054998
130	0.3365194321
131	0.3362781386
132	0.336039317
133	0.3358926707
134	0.3357144345
135	0.3355972182
136	0.3353697227
137	0.3350524481
138	0.3349668455
139	0.3347658471
140	0.3346244264
141	0.334347777
142	0.3341776564
143	0.3338270659
144	0.3337104354
145	0.3335924409
146	0.3334837382
147	0.3333265235
148	0.3332149678
149	0.3329234249
150	0.3326911404
151	0.3324831887
152	0.3323298878
153	0.3321844541
154	0.3320123455
155	0.3317880231
156	0.331696631
157	0.3315442218
158	0.3315132479
159	0.3313416859
160	0.3311214027
161	0.3310558499
162	0.3307907542
163	0.3307033999
164	0.3305458248
165	0.3304853848
166	0.3303868633
167	0.3302165641
168	0.3301332734
169	0.3299647674
170	0.329851435
171	0.3296784609
172	0.3294643185
173	0.3293311977
174	0.329194615
175	0.3290206833
176	0.3289164133
177	0.3287313364
178	0.3285437841
179	0.3282697444
180	0.3280055982
181	0.3279529265
182	0.3277889961
183	0.327634625
184	0.3275631113
185	0.3274065062
186	0.3273264026
187	0.3271753293
188	0.3270709637
189	0.3268129219
190	0.3267233486
191	0.3266149044
192	0.3264172684
193	0.3262540137
194	0.3260798273
195	0.3258346469
196	0.3256525388
197	0.3254142288
198	0.3252953069
199	0.3251074891
200	0.3249510733
201	0.3248073889
202	0.3246155255
203	0.3244340372
204	0.3243107581
205	0.3242086531
206	0.3240713624
207	0.323932916
208	0.3237924442
209	0.3236953973
210	0.3234863257
211	0.3233117518
212	0.323200936
213	0.3230837917
214	0.3229313143
215	0.3227825217
216	0.3226097969
217	0.3224779997
218	0.322292407
219	0.3220817137
220	0.3219444231
221	0.3217903804
222	0.3215845003
223	0.3214550821
224	0.3213606971
225	0.3212041362
226	0.3210760038
227	0.3209764922
228	0.3208778632
229	0.3207555003
230	0.3206169259
231	0.3205640845
232	0.3204787628
233	0.3203367055
234	0.3201823576
235	0.3200421015
236	0.3199396106
237	0.3197138739
238	0.319536498
239	0.3194485971
240	0.3193131142
241	0.3192084484
242	0.3191416324
243	0.3190254512
244	0.318880983
245	0.3187050622
246	0.3185275745
247	0.3184191048
248	0.3183377676
249	0.3181824611
250	0.3180165059
251	0.3179331061
252	0.3177919698
253	0.3176330355
254	0.3174689804
255	0.3173067381
256	0.3172132069
257	0.3170662408
258	0.3169193285
259	0.3168307009
260	0.3166651135
261	0.3165034289
262	0.3163454303
263	0.316137535
264	0.3160386132
265	0.3159359642
266	0.3158354818
267	0.3157044397
268	0.3155117925
269	0.3154165906
270	0.3153183523
271	0.3152047065
272	0.3151687692
273	0.3151015704
274	0.3150085008
275	0.3148540072
276	0.3147074008
277	0.3145628279
278	0.3144631813
279	0.3143261161
280	0.3142298581
281	0.3140885916
282	0.3139891795
283	0.313833774
284	0.313732276
285	0.3137191747
286	0.3135605896
287	0.3134022448
288	0.3132757633
289	0.313187868
290	0.3131219015
291	0.3129286648
292	0.3128507219
293	0.3127617964
294	0.3126212595
295	0.3124706182
296	0.31233045
297	0.3122599238
298	0.3121548942
299	0.3121506698
300	0.3120586525
301	0.3119060606
302	0.3117867626
303	0.3116735062
304	0.3115561034
305	0.3114726363
306	0.311303495
307	0.3111279091
308	0.3109307765
309	0.310834276
310	0.3106707353
311	0.3105593084
312	0.3104633247
313	0.3103371913
314	0.3101907246
315	0.3100636165
316	0.3100099624
317	0.3098842826
318	0.3097797665
319	0.3096559394
320	0.3095940135
321	0.3095041179
322	0.3093647333
323	0.309217129
324	0.3091306287
325	0.3089978655
326	0.3088827077
327	0.308783913
328	0.3087287495
329	0.3085631338
330	0.3084465052
331	0.3082715577
332	0.3081690848
333	0.3080284661
334	0.307913435
335	0.3078080666
336	0.3077288274
337	0.3076367258
338	0.3074279344
339	0.3073130308
340	0.3072011251
341	0.3071014265
342	0.3070166409
343	0.306910509
344	0.3068043819
345	0.3066591763
346	0.306544133
347	0.306398638
348	0.306330083
349	0.3061933425
350	0.3061030172
351	0.3059615246
352	0.3058484096
353	0.3057629492
354	0.3056082121
355	0.3054057847
356	0.3052684875
357	0.3051097911
358	0.305001001
359	0.3048684405
360	0.3047292428
361	0.3046168387
362	0.3044880068
363	0.3043224699
364	0.3042001137
365	0.3040772965
366	0.3039925364
367	0.3038597421
368	0.3037443396
369	0.3036543034
370	0.3035427011
371	0.3034167785
372	0.3032920838
373	0.3031723228
374	0.3029979682
375	0.3028501275
376	0.3027129652
377	0.3025578501
378	0.302502491
379	0.302384316
380	0.3022533481
381	0.3021380897
382	0.302019552
383	0.3019006049
384	0.3018017544
385	0.301678498
386	0.3015351039
387	0.3014260281
388	0.3013317743
389	0.3011617677
390	0.3010707718
391	0.3010200173
392	0.3008798296
393	0.3007881858
394	0.3006989764
395	0.3005904288
396	0.3004974107
397	0.3004131404
398	0.3002637048
399	0.300120542
400	0.300046422
401	0.2999338808
402	0.2998410291
403	0.2996978967
404	0.29958375
405	0.2994512123
406	0.2993303796
407	0.2992222061
408	0.2991471846
409	0.2990164337
410	0.2989267423
411	0.298826085
412	0.2987774224
413	0.2986647835
414	0.2985219469
415	0.2984447982
416	0.2983105643
417	0.2982207641
418	0.2981488969
419	0.2980487857
420	0.2979132651
421	0.2978108867
422	0.2976822328
423	0.2975889693
424	0.2974852182
425	0.297377775
426	0.2972640775
427	0.297152535
428	0.2969971735
429	0.2968043208
430	0.2967327334
431	0.2966194934
432	0.2964985322
433	0.2963692279
434	0.2962854473
435	0.2961902003
436	0.2960979521
437	0.2960384519
438	0.2959443911
439	0.295813689
440	0.2957238314
441	0.2955659041
442	0.2954656375
443	0.2953600934
444	0.2951967425
445	0.2950372096
446	0.2949348561
447	0.2948509464
448	0.294776172
449	0.2946677098
450	0.2945971587
451	0.2945096716
452	0.2944094897
453	0.2943004703
454	0.2941765938
455	0.2940731895
456	0.2939250375
457	0.2938599762
458	0.2937693477
459	0.2936817644
460	0.2935782647
461	0.2934434781
462	0.2933524853
463	0.2932604742
464	0.2931641972
465	0.2930151311
466	0.292932493
467	0.2927736449
468	0.2926672138
469	0.2925314648
470	0.2924295109
471	0.2923002955
472	0.2921988884
473	0.2920786183
474	0.2920031208
475	0.2919004527
476	0.291810133
477	0.2917108685
478	0.2915904702
479	0.2914779147
480	0.2913718221
481	0.2912657205
482	0.2911995406
483	0.2910607243
484	0.2909375488
485	0.2908695246
486	0.2907777806
487	0.2906873972
488	0.2905871905
489	0.2905198192
490	0.2904376387
491	0.2903235616
492	0.2902256991
493	0.2901410417
494	0.2900799674
495	0.2899842213
496	0.289895113
497	0.2897427487
498	0.289644157
499	0.2895082178
500	0.2893941956
501	0.2893102932
502	0.289241434
503	0.2891237071
504	0.2890067062
505	0.288919787
506	0.2888580601
507	0.2887169704
508	0.288599369
509	0.2884750222
510	0.2884035538
511	0.2883197818
512	0.2882296619
513	0.2881752375
514	0.2880501557
515	0.2879386863
516	0.287844819
517	0.2877305724
518	0.2876476304
519	0.2874993227
520	0.2874029519
521	0.287286972
522	0.287213426
523	0.2871023915
524	0.2869503618
525	0.2868728415
526	0.2867454171
527	0.2866687887
528	0.2865366217
529	0.2864578848
530	0.2863816044
531	0.2862961143
532	0.2861524843
533	0.2860560093
534	0.2859753038
535	0.2858891081
536	0.2857734386
537	0.2856605837
538	0.2855256836
539	0.2854513078
540	0.2853633746
541	0.2852375844
542	0.285121959
543	0.2850440719
544	0.2849495157
545	0.2848583277
546	0.2847655296
